active_mechanisms,balanced_depth,balanced_equiv,balanced_geom,balanced_identity,balanced_inv,balanced_kl,balanced_moment,balanced_node,balanced_proj,balanced_recon,balanced_scale,balanced_spectral,balanced_total,balanced_vq,depth,depth_mean,edge_entropy,effective_rank,equiv,evidence_status,feature_effective_rank,geom,graph_energy,heldout_probe_accuracy,heldout_structural_probe_accuracy,identity,initialization,inv,kl,latent_cosine_mean,mode,moment,node,node_entropy,perplexity_coarse,perplexity_fine,probe_protocol,profile,proj,quantized_cosine_mean,recon,retained_run,scale,seed,spectral,split_protocol,stack_alignment,stack_geodesic,struct_gate_mean,structural_effective_rank,structural_mse_mean,total,total_params,trainable_params,usage,view_gate_mean,vq
"{'projective': True, 'graph': True, 'quantizer': True, 'action': True}",-0.015917211771011353,0.3040178418159485,0.05711647868156433,-0.018580572679638863,0.16159813106060028,-0.009819941595196724,0.0226092841476202,0.1414611041545868,0.2698492705821991,0.18763938546180725,0.06830418854951859,0.11709348857402802,3.2378454208374023,1.9524742364883423,0.058205485343933105,0.5582054853439331,0.6885702610015869,4.227957248687744,0.3878118395805359,development_only,1.6121430397033691,0.7410284876823425,1.0295782089233398,0.2631578947368421,0.6842105263157895,0.006013643462210894,"{'sha256': '8e5ee419cde8cee05c56b0499995cf189913d799cf5f99f248edb6429cd6bf08', 'compatible_tensor_count': 182, 'source_tensor_count': 182, 'target_tensor_count': 182}",0.21789997816085815,0.8910003304481506,0.9992389678955078,base,0.812126636505127,1.567029356956482,1.3854812383651733,1.0000001192092896,1.935912847518921,ridge fit on train features; scored once on test,research,1.4114139080047607,0.7836655974388123,0.20345017313957214,research/results/pilot_v1/runs/base/seed_101,0.4174116253852844,101,1.3053656816482544,70% train / 15% validation / 15% held-out test,0.37051424384117126,0.4678480625152588,0.5379140973091125,4.227957248687744,0.09502264112234116,3.282395362854004,54829,54829,0.25,0.5385273098945618,1.9418352842330933
"{'projective': True, 'graph': True, 'quantizer': True, 'action': True}",-0.01793321594595909,0.581120491027832,0.05223695561289787,-0.018961627036333084,0.06964419782161713,-0.0030284449458122253,0.023966919630765915,0.1436503380537033,0.2753573954105377,0.22168591618537903,0.11870480328798294,0.22862932085990906,3.7422711849212646,2.0671980381011963,0.027893424034118652,0.5278934240341187,0.6930816173553467,2.8523197174072266,0.731020987033844,development_only,2.1681807041168213,0.6977987885475159,1.0671404600143433,0.5263157894736842,0.631578947368421,0.007895155809819698,"{'sha256': 'f24648126810ea434783ddcb6f4515cfec091fb575554340e51e8169fede67e8', 'compatible_tensor_count': 182, 'source_tensor_count': 182, 'target_tensor_count': 182}",0.10545575618743896,1.6016234159469604,0.9940546751022339,base,0.8472950458526611,1.5920746326446533,1.3829536437988281,1.0000001192092896,1.0000001192092896,ridge fit on train features; scored once on test,research,1.4396220445632935,0.906406819820404,0.23755337297916412,research/results/pilot_v1/runs/base/seed_211,0.6669143438339233,211,2.4050650596618652,70% train / 15% validation / 15% held-out test,0.34889939427375793,0.38705211877822876,0.5517801642417908,2.8523197174072266,0.16104654967784882,3.822352409362793,54829,54829,0.125,0.549146831035614,2.0560197830200195
"{'projective': True, 'graph': True, 'quantizer': True, 'action': True}",-0.01865675114095211,0.5540364384651184,0.06545566767454147,-0.01905803568661213,0.10195718705654144,-0.0070063043385744095,0.027318984270095825,0.14539894461631775,0.260094553232193,0.23045125603675842,0.12293483316898346,0.3269427418708801,4.0925679206848145,2.3026986122131348,0.014790177345275879,0.5147901773452759,0.6930810809135437,2.4856467247009277,0.697142481803894,development_only,2.059647798538208,0.827709972858429,1.0370231866836548,0.2631578947368421,0.42105263157894735,0.007089715451002121,"{'sha256': '2730bb24c02d5fa378a63282f6016950fd464a9abd8a63fbdcffc026ee8ec3e9', 'compatible_tensor_count': 182, 'source_tensor_count': 182, 'target_tensor_count': 182}",0.1450706124305725,1.2170923948287964,0.988916277885437,base,0.9140868782997131,1.609553575515747,1.3830454349517822,1.2289893627166748,1.0000001192092896,ridge fit on train features; scored once on test,research,1.3648828268051147,0.8757167458534241,0.24627436697483063,research/results/pilot_v1/runs/base/seed_307,0.6872768998146057,307,3.3712778091430664,70% train / 15% validation / 15% held-out test,0.4138549864292145,0.3937435448169708,0.5092095136642456,2.4856467247009277,0.2025667428970337,4.1534223556518555,54829,54829,0.1875,0.5097748637199402,2.290275812149048
"{'projective': False, 'graph': True, 'quantizer': True, 'action': True}",-0.020302152261137962,0.3000483810901642,-0.020302152261137962,-0.01992894895374775,0.1160268485546112,-0.010643668472766876,0.019871298223733902,0.14732220768928528,-0.020302152261137962,0.19500921666622162,-0.020302152261137962,-0.020302152261137962,2.575995922088623,1.929801344871521,0.0,0.0,0.6908590197563171,3.612699031829834,0.3821124732494354,development_only,1.4269773960113525,0.0,1.0384174585342407,0.2631578947368421,0.5789473684210527,0.007293032947927713,"{'sha256': '8e5ee419cde8cee05c56b0499995cf189913d799cf5f99f248edb6429cd6bf08', 'compatible_tensor_count': 146, 'source_tensor_count': 182, 'target_tensor_count': 146}",0.16259217262268066,0.9475455284118652,0.9991878867149353,no_renorm,0.7847127318382263,1.635046362876892,1.3858518600463867,1.0000001192092896,2.029966115951538,ridge fit on train features; scored once on test,research,0.0,0.839095950126648,0.2118573933839798,research/results/pilot_v1/runs/no_renorm/seed_101,0.36571064591407776,101,0.0,70% train / 15% validation / 15% held-out test,0.0,0.0,0.5331384539604187,3.612699031829834,0.13584968447685242,2.62337327003479,51275,51275,0.25,0.5344016551971436,1.9198236465454102
"{'projective': False, 'graph': True, 'quantizer': True, 'action': True}",-0.020140333101153374,0.5951420664787292,-0.020140331238508224,-0.01969236508011818,0.28337225317955017,-0.002781623974442482,0.023231104016304016,0.1450561285018921,-0.020140331238508224,0.22068122029304504,-0.020140331238508224,-0.020140331238508224,3.3741374015808105,2.229830026626587,0.0,0.0,0.693099856376648,2.8963522911071777,0.7481604218482971,development_only,1.5266222953796387,0.0,1.077534556388855,0.3684210526315789,0.6842105263157895,0.008760891854763031,"{'sha256': 'f24648126810ea434783ddcb6f4515cfec091fb575554340e51e8169fede67e8', 'compatible_tensor_count': 146, 'source_tensor_count': 182, 'target_tensor_count': 146}",0.3680998980998993,1.700384497642517,0.9933170676231384,no_renorm,0.847237229347229,1.6116070747375488,1.3843728303909302,2.2811038494110107,1.2289893627166748,ridge fit on train features; scored once on test,research,0.0,0.6454160809516907,0.23717956244945526,research/results/pilot_v1/runs/no_renorm/seed_211,0.6956419944763184,211,0.0,70% train / 15% validation / 15% held-out test,0.0,0.0,0.54778653383255,2.8963522911071777,0.20786817371845245,3.4591565132141113,51275,51275,0.3125,0.5440806150436401,2.216920852661133
"{'projective': False, 'graph': True, 'quantizer': True, 'action': True}",-0.020292431116104126,0.5206045508384705,-0.020292431116104126,-0.019995717331767082,0.1980057954788208,-0.007606531493365765,0.025385363027453423,0.14350742101669312,-0.020292431116104126,0.21524053812026978,-0.020292431116104126,-0.020292431116104126,3.016340970993042,2.042661428451538,0.0,0.0,0.692945659160614,2.715683698654175,0.655388355255127,development_only,1.8386715650558472,0.0,1.0360130071640015,0.3684210526315789,0.42105263157894735,0.005796568468213081,"{'sha256': '2730bb24c02d5fa378a63282f6016950fd464a9abd8a63fbdcffc026ee8ec3e9', 'compatible_tensor_count': 146, 'source_tensor_count': 182, 'target_tensor_count': 146}",0.2635120749473572,1.242527961730957,0.9815914034843445,no_renorm,0.8922408819198608,1.597578525543213,1.384251594543457,1.4000331163406372,1.546760082244873,ridge fit on train features; scored once on test,research,0.0,0.7710782885551453,0.23209767043590546,research/results/pilot_v1/runs/no_renorm/seed_307,0.6189669966697693,307,0.0,70% train / 15% validation / 15% held-out test,0.0,0.0,0.510058581829071,2.715683698654175,0.21039867401123047,3.07846736907959,51275,51275,0.25,0.5115748047828674,2.033051013946533
"{'projective': True, 'graph': False, 'quantizer': True, 'action': True}",-0.01753697544336319,0.23764456808567047,0.0397423654794693,-0.01994144916534424,0.00513487309217453,-0.0058083301410079,0.02377106435596943,-0.020167261362075806,0.2882208228111267,0.20634353160858154,0.050349075347185135,0.07825972139835358,3.1950347423553467,2.3290228843688965,0.05143630504608154,0.5514363050460815,0.0,2.8744583129882812,0.304900586605072,development_only,1.8264732360839844,0.5817131400108337,0.14076551795005798,0.5263157894736842,0.631578947368421,0.004409391433000565,"{'sha256': '8e5ee419cde8cee05c56b0499995cf189913d799cf5f99f248edb6429cd6bf08', 'compatible_tensor_count': 159, 'source_tensor_count': 182, 'target_tensor_count': 159}",0.0262678861618042,1.4075573682785034,0.9102394580841064,no_graph,0.858271598815918,2.244893789291382,0.0,1.0000001192092896,1.0000001192092896,ridge fit on train features; scored once on test,research,1.5051443576812744,1.0,0.22278690338134766,research/results/pilot_v1/runs/no_graph/seed_101,0.33331525325775146,101,0.9279929399490356,70% train / 15% validation / 15% held-out test,0.29085657000541687,0.4839748740196228,0.5460448265075684,2.8744583129882812,0.056480105966329575,3.2654125690460205,54156,54156,0.125,0.5480494499206543,2.3165860176086426
"{'projective': True, 'graph': False, 'quantizer': True, 'action': True}",-0.01630292646586895,0.6042545437812805,0.05728916823863983,-0.018251072615385056,0.20374977588653564,-0.003437574952840805,0.02270320989191532,-0.018626855686306953,0.27480435371398926,0.254040002822876,0.12575922906398773,0.2328578531742096,3.7791082859039307,2.0602686405181885,0.045421481132507324,0.5454214811325073,0.0,2.8069353103637695,0.7598769068717957,development_only,1.4272198677062988,0.7409300804138184,0.11218315362930298,0.5263157894736842,0.631578947368421,0.007358635775744915,"{'sha256': 'f24648126810ea434783ddcb6f4515cfec091fb575554340e51e8169fede67e8', 'compatible_tensor_count': 159, 'source_tensor_count': 182, 'target_tensor_count': 159}",0.26963186264038086,1.4902480840682983,0.915718674659729,no_graph,0.809037446975708,2.234560966491699,0.0,1.0000001192092896,2.124300479888916,ridge fit on train features; scored once on test,research,1.4348781108856201,0.7513439059257507,0.2684294581413269,research/results/pilot_v1/runs/no_graph/seed_211,0.6993592381477356,211,2.4434397220611572,70% train / 15% validation / 15% held-out test,0.3704650402069092,0.41079869866371155,0.527370274066925,2.8069353103637695,0.2594805359840393,3.853620767593384,54156,54156,0.25,0.5257571935653687,2.0486671924591064
"{'projective': True, 'graph': False, 'quantizer': True, 'action': True}",-0.018136441707611084,0.5800425410270691,0.044893957674503326,-0.01787102408707142,0.25036054849624634,-0.0040751127526164055,0.031777430325746536,-0.018281767144799232,0.2843325734138489,0.24777139723300934,0.11833484470844269,0.307788223028183,4.072594165802002,2.2656571865081787,0.0026785731315612793,0.4973214268684387,0.0,2.965775966644287,0.7297771573066711,development_only,2.1246955394744873,0.6161696314811707,0.13427403569221497,0.5263157894736842,0.631578947368421,0.008046361617743969,"{'sha256': '2730bb24c02d5fa378a63282f6016950fd464a9abd8a63fbdcffc026ee8ec3e9', 'compatible_tensor_count': 159, 'source_tensor_count': 182, 'target_tensor_count': 159}",0.326252281665802,1.3949036598205566,0.8783895373344421,no_graph,0.9807249903678894,2.2402048110961914,0.0,1.4000331163406372,1.2289893627166748,ridge fit on train features; scored once on test,research,1.4808170795440674,0.7098796367645264,0.2620463967323303,research/results/pilot_v1/runs/no_graph/seed_307,0.6614323854446411,307,3.179776906967163,70% train / 15% validation / 15% held-out test,0.3080848157405853,0.383769154548645,0.5041061043739319,2.965775966644287,0.10870243608951569,4.14233922958374,54156,54156,0.25,0.5032569766044617,2.251569986343384
"{'projective': True, 'graph': True, 'quantizer': False, 'action': True}",-0.027855541557073593,0.30284783244132996,0.03995443880558014,-0.029037022963166237,0.006392929702997208,-0.021775316447019577,0.013814302161335945,0.13393659889698029,0.27276596426963806,0.16339771449565887,0.05599013715982437,0.1449265480041504,1.0261869430541992,-0.02917162887752056,0.025511741638183594,0.5255117416381836,0.6871222257614136,4.390280723571777,0.377363920211792,development_only,1.693363904953003,0.6667671799659729,1.0372889041900635,0.15789473684210525,0.5263157894736842,0.002601885935291648,"{'sha256': '8e5ee419cde8cee05c56b0499995cf189913d799cf5f99f248edb6429cd6bf08', 'compatible_tensor_count': 180, 'source_tensor_count': 182, 'target_tensor_count': 182}",0.034121595323085785,0.7195598483085632,0.9997655153274536,no_vq,0.832952082157135,1.5777519941329956,1.3855772018432617,1.0,1.0,ridge fit on train features; scored once on test,research,1.4603313207626343,0.9663705229759216,0.18791116774082184,research/results/pilot_v1/runs/no_vq/seed_101,0.39965856075286865,101,1.646315097808838,70% train / 15% validation / 15% held-out test,0.33338358998298645,0.44819918274879456,0.5379832983016968,4.390280723571777,0.042029231786727905,1.0621649026870728,54717,54717,1.0,0.539151132106781,0.0
